"ID"	"Acc"	"best.pop"
"mtCR.pub-6"	"JN944262.1"	"mtCR.outer"
"mtCR.pub-24"	"GQ504098.1"	"mtCR.outer"
"mtCR.pub-25"	"GQ504106.1"	"mtCR.outer"
"mtCR.pub-26"	"HQ383684.1"	"mtCR.outer"
"mtCR.pub-27"	"JN944194.1"	"mtCR.sound"
"mtCR.mix-4"	"JN944196.1"	"mtCR.sound"
"mtCR.mix-4"	"MT380111.1"	"mtCR.sound"
"mtCR.mix-4"	"MT380114.1"	"mtCR.sound"
"mtCR.mix-4"	"MT380115.1"	"mtCR.sound"
"mtCR.mix-4"	"MT380118.1"	"mtCR.sound"
"mtCR.mix-4"	"MT380119.1"	"mtCR.sound"
"mtCR.mix-4"	"MT380128.1"	"mtCR.sound"
"mtCR.mix-4"	"MT380130.1"	"mtCR.sound"
"mtCR.mix-4"	"MT380131.1"	"mtCR.sound"
"mtCR.mix-4"	"MT380132.1"	"mtCR.sound"
"mtCR.mix-4"	"SER10-0066"	"mtCR.sound"
"mtCR.mix-4"	"SER10-0257"	"mtCR.sound"
"mtCR.mix-4"	"SER10-0320"	"mtCR.sound"
"mtCR.mix-4"	"SER10-0461"	"mtCR.sound"
"mtCR.mix-4"	"SER10-0471"	"mtCR.sound"
"mtCR.mix-4"	"SER10-0609"	"mtCR.sound"
"mtCR.mix-4"	"SER10-0648"	"mtCR.sound"
"mtCR.mix-4"	"SER11-0003"	"mtCR.sound"
"mtCR.mix-4"	"SER11-0060"	"mtCR.sound"
"mtCR.mix-4"	"SER11-0118"	"mtCR.sound"
"mtCR.mix-4"	"SER11-0134"	"mtCR.sound"
"mtCR.mix-4"	"SER11-0147"	"mtCR.sound"
"mtCR.mix-4"	"SER11-0148"	"mtCR.sound"
"mtCR.mix-4"	"SER11-0412"	"mtCR.sound"
"mtCR.mix-4"	"SER11-0482"	"mtCR.sound"
"mtCR.mix-4"	"SER11-0483"	"mtCR.sound"
"mtCR.mix-4"	"SER11-0542"	"mtCR.sound"
"mtCR.mix-4"	"SER11-1056"	"mtCR.sound"
"mtCR.mix-4"	"SER11-2466"	"mtCR.sound"
"mtCR.mix-4"	"SER12-0149"	"mtCR.sound"
"mtCR.mix-4"	"SER12-0243"	"mtCR.sound"
"mtCR.mix-4"	"SER13-0013"	"mtCR.sound"
"mtCR.mix-4"	"SER13-0056"	"mtCR.sound"
"mtCR.mix-4"	"SER13-0092"	"mtCR.sound"
"mtCR.mix-4"	"SER13-0419"	"mtCR.sound"
"mtCR.mix-4"	"SER16-00295"	"mtCR.sound"
"mtCR.mix-4"	"SER17-00595"	"mtCR.sound"
"mtCR.mix-4"	"SER19-00061"	"mtCR.sound"
"mtCR.mix-4"	"SER19-00062"	"mtCR.sound"
"mtCR.mix-4"	"SER19-00371"	"mtCR.sound"
"mtCR.mix-4"	"SER19-00448"	"mtCR.sound"
"mtCR.mix-4"	"SER20-00109"	"mtCR.sound"
"mtCR.mix-4"	"SER21-00005"	"mtCR.sound"
"mtCR.mix-4"	"SER21-00176"	"mtCR.sound"
"mtCR.mix-4"	"SER21-00803"	"mtCR.sound"
"mtCR.mix-4"	"SER21-01066"	"mtCR.sound"
"mtCR.mix-4"	"SER11-0125"	"mtCR.sound"
"mtCR.mix-4"	"SER11-1463"	"mtCR.sound"
"mtCR.mix-4"	"SER19-00019"	"mtCR.sound"
"mtCR.mix-4"	"SER19-00132"	"mtCR.sound"
"mtCR.pub-7"	"JN944197.1"	"mtCR.sound"
"mtCR.pub-7"	"JN944251.1"	"mtCR.sound"
"mtCR.pub-28"	"JN944198.1"	"mtCR.sound"
"mtCR.pub-2"	"JN944199.1"	"mtCR.sound"
"mtCR.pub-2"	"JN944246.1"	"mtCR.sound"
"mtCR.pub-2"	"JN944247.1"	"mtCR.sound"
"mtCR.pub-2"	"JN944252.1"	"mtCR.sound"
"mtCR.pub-29"	"JN944200.1"	"mtCR.sound"
"mtCR.pub-30"	"JN944201.1"	"mtCR.inner"
"mtCR.mix-6"	"JN944204.1"	"mtCR.sound"
"mtCR.mix-6"	"SER10-0036"	"mtCR.sound"
"mtCR.mix-6"	"SER10-0089"	"mtCR.sound"
"mtCR.mix-6"	"SER15-00117"	"mtCR.sound"
"mtCR.mix-6"	"SER16-00094"	"mtCR.sound"
"mtCR.mix-6"	"SER16-00296"	"mtCR.sound"
"mtCR.mix-6"	"SER20-00105"	"mtCR.sound"
"mtCR.mix-6"	"SER20-00174"	"mtCR.sound"
"mtCR.mix-6"	"SER20-00270"	"mtCR.sound"
"mtCR.mix-6"	"SER20-00326"	"mtCR.sound"
"mtCR.mix-6"	"SER20-00361"	"mtCR.sound"
"mtCR.mix-6"	"SER21-00896"	"mtCR.sound"
"mtCR.mix-9"	"JN944205.1"	"mtCR.sound"
"mtCR.mix-9"	"SER11-0137"	"mtCR.sound"
"mtCR.mix-9"	"SER11-0541"	"mtCR.sound"
"mtCR.mix-9"	"SER21-00179"	"mtCR.sound"
"mtCR.pub-31"	"JN944207.1"	"mtCR.sound"
"mtCR.mix-7"	"JN944209.1"	"mtCR.sound"
"mtCR.mix-7"	"SER10-0229"	"mtCR.sound"
"mtCR.mix-7"	"SER12-0254"	"mtCR.sound"
"mtCR.mix-7"	"SER19-01231"	"mtCR.sound"
"mtCR.mix-7"	"SER20-00673"	"mtCR.sound"
"mtCR.mix-7"	"SER20-00673F"	"mtCR.sound"
"mtCR.mix-7"	"SER21-00004"	"mtCR.sound"
"mtCR.mix-7"	"SER21-00178"	"mtCR.sound"
"mtCR.mix-7"	"SER21-00936"	"mtCR.sound"
"mtCR.pub-32"	"JN944210.1"	"mtCR.sound"
"mtCR.pub-33"	"JN944211.1"	"mtCR.inner"
"mtCR.pub-34"	"JN944212.1"	"mtCR.sound"
"mtCR.pub-35"	"JN944213.1"	"mtCR.sound"
"mtCR.pub-36"	"JN944217.1"	"mtCR.ocean"
"mtCR.pub-37"	"JN944219.1"	"mtCR.ocean"
"mtCR.pub-38"	"JN944221.1"	"mtCR.outer"
"mtCR.pub-39"	"JN944222.1"	"mtCR.ocean"
"mtCR.pub-40"	"JN944223.1"	"mtCR.ocean"
"mtCR.pub-41"	"JN944224.1"	"mtCR.ocean"
"mtCR.pub-42"	"JN944225.1"	"mtCR.ocean"
"mtCR.pub-43"	"JN944226.1"	"mtCR.outer"
"mtCR.pub-44"	"JN944227.1"	"mtCR.ocean"
"mtCR.pub-45"	"JN944230.1"	"mtCR.ocean"
"mtCR.pub-46"	"JN944231.1"	"mtCR.outer"
"mtCR.pub-47"	"JN944235.1"	"mtCR.outer"
"mtCR.pub-48"	"JN944236.1"	"mtCR.outer"
"mtCR.pub-8"	"JN944242.1"	"mtCR.inner"
"mtCR.pub-8"	"JN944255.1"	"mtCR.inner"
"mtCR.pub-49"	"JN944248.1"	"mtCR.inner"
"mtCR.pub-50"	"JN944259.1"	"mtCR.inner"
"mtCR.mix-12"	"MT380133.1"	"mtCR.sound"
"mtCR.mix-12"	"SER10-0709"	"mtCR.sound"
"mtCR.pub-51"	"MT380134.1"	"mtCR.sound"
"mtCR.pub-52"	"MT380135.1"	"mtCR.outer"
"mtCR.pub-53"	"MT380136.1"	NA
"mtCR.new-1"	"SER10-0065"	"mtCR.sound"
"mtCR.new-1"	"SER10-0326"	"mtCR.sound"
"mtCR.new-1"	"SER11-0092"	"mtCR.sound"
"mtCR.new-3"	"SER11-0127"	"mtCR.sound"
"mtCR.new-4"	"SER11-2497"	"mtCR.sound"
"mtCR.new-5"	"SER19-00365"	"mtCR.sound"
"mtCR.new-6"	"SER19-00374"	"mtCR.sound"
"mtCR.new-7"	"SER19-00440"	"mtCR.sound"
"mtCR.new-2"	"SER19-01078"	"mtCR.sound"
"mtCR.new-2"	"SER21-00802"	"mtCR.sound"
"mtCR.new-8"	"SER20-00363"	"mtCR.sound"
"mtCR.out-1"	"DQ060054.1"	NA
"mtCR.out-2"	"DQ060057.1"	NA
