       Accession     P4     P6     P7    P10     Type
161  SER14-00294   42.0   55.0  322.0  189.0 Complete
162  SER14-00301  283.0  684.0 1142.0 1132.0 Complete
163  SER14-00306  464.0  570.0 1064.0  823.0 Complete
164  SER14-00311   33.0  163.0  285.0  215.0 Complete
165  SER14-00312  337.0  363.0  966.0  607.0 Complete
166  SER14-00503  101.0   85.0   73.0  240.0 Complete
167  SER14-00568  359.0  511.0  791.0  698.0 Complete
168  SER14-00900  190.0   75.0  116.0   42.0 Complete
169  SER15-00117   16.0   85.0  510.0   62.0 Complete
170  SER15-00118   50.0   88.0  829.0  239.0 Complete
171  SER15-00135  711.0  219.0  418.0  688.0 Complete
172  SER15-00204  357.0  385.0  847.0  484.0 Complete
173  SER15-00383  199.0  427.0 1058.0  532.0 Complete
174  SER15-00652  287.0  373.0  865.0  506.0 Complete
175  SER16-00008  112.0  137.0  997.0  202.0 Complete
176  SER16-00018  219.0  252.0 1047.5  405.0 Complete
177  SER16-00020   72.0  251.0  882.0  444.0 Complete
178  SER16-00026  147.0  287.0  564.0  252.0 Complete
179  SER16-00038   71.0  210.0  534.0  176.0 Complete
180  SER16-00042  273.0  480.0 1351.0  670.0 Complete
181  SER16-00048    1.0  149.0  547.0   90.0  Partial
182  SER16-00054   65.0  292.0  697.0  170.0 Complete
183  SER16-00055   68.0   88.0  447.0  129.0 Complete
184  SER16-00057   25.0  156.0  405.0  231.0 Complete
185  SER16-00061   45.0  151.0  417.0  108.0 Complete
186  SER16-00070    4.0    4.0  381.0   58.0  Partial
187  SER16-00094  273.0  455.0  759.0  525.0 Complete
188  SER16-00167  127.0  160.0  906.0  453.0 Complete
189  SER16-00179  271.0  326.0  934.0  708.0 Complete
190  SER16-00184   23.0  105.0   81.0  389.0 Complete
191  SER16-00185  179.0  837.0 1309.0 1278.0 Complete
192  SER16-00186  139.0  120.0  701.0  446.0 Complete
193  SER16-00295  217.0  295.0  881.0  418.0 Complete
194  SER16-00296  357.0  429.0  793.0  576.0 Complete
195  SER16-00337   38.0  139.0  465.0   71.0 Complete
196  SER16-00372  288.0  291.0  221.0  337.0 Complete
197  SER16-00389   23.0  147.0 1184.0  216.0 Complete
198  SER16-00473    1.0   47.5  368.0   43.0  Partial
199  SER16-00726  198.0  250.0  547.0  392.0 Complete
200  SER17-00028  318.0  471.0 1056.0  661.0 Complete
201  SER17-00045  281.0  414.0 1035.0  515.0 Complete
202  SER17-00046  229.0  336.0  732.0  501.0 Complete
203  SER17-00047  105.0  287.0 1509.0  390.0 Complete
204  SER17-00050   82.0  281.0 1271.0   87.0 Complete
205  SER17-00238  390.0  436.0  803.0  624.0 Complete
206  SER17-00260  399.0  469.0  990.0  701.0 Complete
207  SER17-00286  496.0  511.0 1146.0  752.0 Complete
208  SER17-00382    3.0  173.0  863.0  266.0  Partial
209  SER17-00383  155.0  231.0  574.0  333.0 Complete
210  SER17-00397  661.0  813.0 1271.0  969.0 Complete
211  SER17-00583  284.0  207.0  638.0  212.0 Complete
212  SER17-00595   31.0  128.0  990.0  220.0 Complete
213  SER18-00063  127.0  245.0 1150.0  412.0 Complete
214  SER18-00067   48.0  131.0 1230.0 1254.0 Complete
215  SER18-00077   22.0   28.0  162.0   84.0 Complete
216  SER18-00078  336.0   63.0   56.0  158.0 Complete
217  SER18-00080   93.0  162.0  605.0  416.0 Complete
218  SER18-00081  240.0  428.0  949.0  441.0 Complete
219  SER18-00082   34.0   71.0   97.0   73.0 Complete
220  SER18-00083  459.0  614.0  847.0  855.0 Complete
221  SER18-00084  286.0  400.0  396.0  583.0 Complete
222  SER18-00096   47.0  600.0  290.0  822.0 Complete
223  SER18-00098   87.0  125.0  303.0  188.0 Complete
224  SER18-00099  759.0  983.0 1637.0 1486.0 Complete
225  SER18-00115   17.0   47.0   51.0   45.0 Complete
226  SER18-00239  325.0  226.0   64.0  216.0 Complete
227  SER18-00241   37.0  113.0  108.0  169.0 Complete
228  SER18-00242  319.0  101.0  111.0  159.0 Complete
229  SER18-00244   31.0   51.0   67.0   73.0 Complete
230  SER18-00510   50.0   85.0  128.0  126.0 Complete
231  SER18-00667   18.0   22.0   62.0   44.0 Complete
